날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-13 02,서울 강남구 ,강남구,111261,0.005,0.3,0.008,0.017,33,27
2016-08-13 03,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.017,41,26
2016-08-13 04,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.013,35,22
2016-08-13 05,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.012,34,31
2016-08-13 06,서울 강남구 ,강남구,111261,0.004,0.3,0.005,0.019,44,28
2016-08-13 07,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.022,40,33
2016-08-13 08,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.021,41,28
2016-08-13 09,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.019,32,27
2016-08-13 10,서울 강남구 ,강남구,111261,0.003,0.3,0.015,0.02,36,26
2016-08-13 11,서울 강남구 ,강남구,111261,0.004,0.3,0.027,0.018,29,26
2016-08-13 12,서울 강남구 ,강남구,111261,0.004,0.3,0.037,0.02,47,36
2016-08-13 13,서울 강남구 ,강남구,111261,0.004,0.3,0.05,0.017,37,29
2016-08-13 14,서울 강남구 ,강남구,111261,0.004,0.3,0.058,0.016,34,27
